"frame_idx ""video"" ""phase"" ""fly"" ""x"" ""y"" ""fly_prev"" ""x_prev"" ""y_prev"" ""dist"" ""mutilple_matches"" ""different_match"""
"29005 ""TC_Grp_3_f_18"" 17 ""0"" 558 122 ""2"" 566 117 9.4339811320566 0 1"
"29006 ""TC_Grp_3_f_18"" 17 ""0"" 566 129 ""2"" 574 125 8.94427190999916 0 1"
"29114 ""TC_Grp_3_f_18"" 17 ""0"" 665 182 ""2"" 663 188 6.32455532033676 0 1"
"29311 ""TC_Grp_3_f_18"" 17 ""0"" 587 128 ""2"" 583 129 4.12310562561766 0 1"
"29386 ""TC_Grp_3_f_18"" 17 ""0"" 475 221 ""2"" 484 230 12.7279220613579 0 1"
"29397 ""TC_Grp_3_f_18"" 17 ""0"" 521 232 ""1"" 532 238 12.5299640861417 0 1"
"29457 ""TC_Grp_3_f_18"" 17 ""0"" 645 173 ""2"" 653 170 8.54400374531753 0 1"
"29482 ""TC_Grp_3_f_18"" 17 ""0"" 625 217 ""1"" 621 213 5.65685424949238 0 1"
"29539 ""TC_Grp_3_f_18"" 17 ""0"" 632 16 ""2"" 647 18 15.1327459504216 0 1"
"29543 ""TC_Grp_3_f_18"" 17 ""0"" 441 179 ""1"" 505 172 64.3816744112795 0 1"
"29628 ""TC_Grp_3_f_18"" 17 ""0"" 501 117 ""1"" 506 109 9.4339811320566 0 1"
"29978 ""TC_Grp_3_f_18"" 17 ""0"" 57 163 ""2"" 61 147 16.4924225024706 0 1"
"29985 ""TC_Grp_3_f_18"" 17 ""0"" 81 152 ""2"" 64 142 19.723082923316 0 1"
"30030 ""TC_Grp_3_f_18"" 17 ""0"" 58 132 ""1"" 60 131 2.23606797749979 0 1"
"30041 ""TC_Grp_3_f_18"" 17 ""0"" 60 130 ""1"" 61 130 1 0 1"
"30057 ""TC_Grp_3_f_18"" 17 ""0"" 60 119 ""2"" 58 127 8.24621125123532 0 1"
"30073 ""TC_Grp_3_f_18"" 17 ""0"" 128 54 ""1"" 128 43 11 0 1"
"30074 ""TC_Grp_3_f_18"" 17 ""0"" 60 114 ""1"" 61 114 1 0 1"
"30124 ""TC_Grp_3_f_18"" 17 ""0"" 58 129 ""2"" 62 114 15.52417469626 0 1"
"30133 ""TC_Grp_3_f_18"" 17 ""0"" 62 107 ""2"" 64 107 2 0 1"
"30136 ""TC_Grp_3_f_18"" 17 ""0"" 64 107 ""2"" 65 106 1.4142135623731 0 1"
"30254 ""TC_Grp_3_f_18"" 17 ""0"" 106 112 ""2"" 109 108 5 0 1"
"30294 ""TC_Grp_3_f_18"" 17 ""0"" 743 23 ""1"" 629 127 154.311373527683 0 1"
"30381 ""TC_Grp_3_f_18"" 17 ""0"" 734 35 ""1"" 723 47 16.2788205960997 0 1"
"30415 ""TC_Grp_3_f_18"" 17 ""0"" 718 35 ""1"" 715 32 4.24264068711928 0 1"
"30436 ""TC_Grp_3_f_18"" 17 ""0"" 486 14 ""2"" 438 127 122.772146678308 0 1"
"30443 ""TC_Grp_3_f_18"" 17 ""0"" 415 136 ""2"" 427 131 13 0 1"
"30481 ""TC_Grp_3_f_18"" 17 ""0"" 447 99 ""2"" 444 105 6.70820393249937 0 1"
"30716 ""TC_Grp_3_f_18"" 18 ""0"" 607 130 ""2"" 598 130 9 0 1"
"30775 ""TC_Grp_3_f_18"" 18 ""0"" 531 93 ""2"" 534 90 4.24264068711928 0 1"
"30787 ""TC_Grp_3_f_18"" 18 ""0"" 569 98 ""2"" 569 98 0 0 1"
"30815 ""TC_Grp_3_f_18"" 18 ""0"" 474 198 ""2"" 472 204 6.32455532033676 0 1"
"30822 ""TC_Grp_3_f_18"" 18 ""0"" 418 196 ""2"" 415 199 4.24264068711928 0 1"
"30834 ""TC_Grp_3_f_18"" 18 ""0"" 715 35 ""1"" 717 37 2.82842712474619 0 1"
"30863 ""TC_Grp_3_f_18"" 18 ""0"" 181 179 ""2"" 177 164 15.52417469626 0 1"
"30975 ""TC_Grp_3_f_18"" 18 ""0"" 266 57 ""2"" 268 63 6.32455532033676 0 1"
"30985 ""TC_Grp_3_f_18"" 18 ""0"" 251 98 ""2"" 267 63 38.4837628097877 0 1"
"30997 ""TC_Grp_3_f_18"" 18 ""0"" 597 149 ""1"" 573 74 78.7464284904401 0 1"
"31089 ""TC_Grp_3_f_18"" 18 ""0"" 69 179 ""1"" 85 183 16.4924225024706 0 1"
"31091 ""TC_Grp_3_f_18"" 18 ""0"" 35 176 ""1"" 52 176 17 0 1"
"31093 ""TC_Grp_3_f_18"" 18 ""0"" 7 171 ""1"" 22 173 15.1327459504216 0 1"
"31096 ""TC_Grp_3_f_18"" 18 ""0"" 321 49 ""1"" 321 51 2 0 1"
