"phase","phase_type","NT_CS_1","NT_CS_10","NT_CS_11","NT_CS_12","NT_CS_13","NT_CS_14","NT_CS_15","NT_CS_16","NT_CS_17","NT_CS_18","NT_CS_19","NT_CS_2","NT_CS_20","NT_CS_3","NT_CS_4","NT_CS_5","NT_CS_6","NT_CS_7","NT_CS_8","NT_CS_9","NT_OR_1","NT_OR_10","NT_OR_11","NT_OR_12","NT_OR_13","NT_OR_14","NT_OR_15","NT_OR_16","NT_OR_17","NT_OR_18","NT_OR_19","NT_OR_2","NT_OR_20","NT_OR_3","NT_OR_4","NT_OR_5","NT_OR_6","NT_OR_7","NT_OR_8","NT_OR_9","OT_CS_1","OT_CS_10","OT_CS_11","OT_CS_12","OT_CS_13","OT_CS_14","OT_CS_15","OT_CS_16","OT_CS_17","OT_CS_18","OT_CS_19","OT_CS_2","OT_CS_20","OT_CS_3","OT_CS_4","OT_CS_5","OT_CS_6","OT_CS_7","OT_CS_8","OT_CS_9","OT_OR_1","OT_OR_10","OT_OR_11","OT_OR_12","OT_OR_13","OT_OR_14","OT_OR_15","OT_OR_16","OT_OR_17","OT_OR_18","OT_OR_19","OT_OR_2","OT_OR_20","OT_OR_3","OT_OR_4","OT_OR_5","OT_OR_6","OT_OR_7","OT_OR_8","OT_OR_9","TT_CS_1","TT_CS_10","TT_CS_11","TT_CS_12","TT_CS_13","TT_CS_14","TT_CS_15","TT_CS_16","TT_CS_17","TT_CS_18","TT_CS_19","TT_CS_2","TT_CS_20","TT_CS_3","TT_CS_4","TT_CS_5","TT_CS_6","TT_CS_7","TT_CS_8","TT_CS_9","TT_OR_1","TT_OR_10","TT_OR_11","TT_OR_12","TT_OR_13","TT_OR_14","TT_OR_15","TT_OR_16","TT_OR_17","TT_OR_18","TT_OR_19","TT_OR_2","TT_OR_20","TT_OR_3","TT_OR_4","TT_OR_5","TT_OR_6","TT_OR_7","TT_OR_8","TT_OR_9"
22,"trial",0,8.17,0,5.93,4.3,2.63,3.2,4.43,1.53,3.5,2.5,2.3,4.77,3.9,0,1.77,3.5,3,6.23,3.3,1.47,0.5,2.5,3.6,2.7,1.33,1.97,0,1.53,1.73,1.37,3.6,2.93,NA,3.43,2.17,3.47,2.17,0.63,1.93,2.7,4.67,0.43,3.9,1.57,0.1,3.27,3.83,2.57,2.73,5.3,1.97,0.4,NA,6.5,3.63,4.5,3.13,2.83,4.57,3.57,2.73,2.57,3.07,0,0.73,1.67,1.5,0.03,3.9,1.93,4.57,4,0.7,0.7,2.57,2.93,2.97,0,1.93,5.13,3.43,3.2,0,3.53,2,3.6,7.97,8.5,4.1,0,1.07,2.7,2.13,3.93,2.93,2.17,1.07,2.6,0,2.67,1.73,NA,2.77,2.77,5.9,4,1.97,1.9,1.9,10.43,0,3.73,4.83,0,13.2,0.77,3,0,0
24,"trial",5.37,5.37,2.37,0,5.43,3.37,0.7,3.9,1.63,5.37,0,2.6,3.87,2.17,4.87,3.87,2.53,1.77,0,0,1.6,5.13,2.1,1.93,4.47,0,1.5,1.17,1.63,1.8,4.13,3.63,1.87,NA,3.33,3.57,5.1,1.3,2,3.57,0.87,4.63,4.27,3.03,4.07,4.1,7.77,6.87,3,5.33,7.6,4.9,5.6,NA,5,4.77,4.2,4.93,4.8,2.17,3.4,2.7,2.53,3.3,1.97,2.5,0.53,0.8,0.63,3.03,1.67,2.13,0.33,2.57,2.57,3.43,1.33,2.33,0,2.43,0,2.17,4.73,3.07,3.37,1,1.8,7.1,4.87,3.93,4.77,2.53,3.5,3.57,5.13,2.53,3.4,7.4,3.07,0,0,6.5,NA,2.7,2.7,1.4,2.87,3.17,2.33,2.33,0.77,3.47,3.6,3.2,5,10.13,2.1,0.8,1.27,0
26,"trial",4.27,4.9,0.27,1.77,5.47,3.27,2.57,4.23,3.47,0,4.43,1.9,8,8.8,3.87,4.3,2.83,0.83,6.53,0,1.23,2.13,1.67,2.63,2.37,0.93,1.07,3.3,3.47,2.3,3.63,4.07,2.3,NA,1.3,3.93,3.7,2.43,1.9,3.33,2.13,2.17,2.7,3.73,2.43,5.8,3.67,5.33,0.77,4.67,5.97,2.27,1.17,NA,0,2.57,4.87,4.93,4.63,5.5,0,1.97,3.2,2.33,0.83,2.27,2.4,1.9,0.27,2.43,1.27,4.43,1.63,1.23,1.23,2.4,0.7,1,0,4.63,0.1,3.77,0,0,2.5,1.7,3.53,7.7,4.97,4.13,4.47,1.37,1.73,2.43,2.73,0,4.97,4.07,2.63,0.07,2.53,4.67,NA,1.33,1.33,0,2.47,2.97,1.3,1.3,1.37,2.07,0.47,2.87,0.47,8.13,0,1.17,0.93,1.03
28,"trial",3.6,2.33,2.73,8.1,2.83,2.43,0,5.03,2.27,0,2.27,3.63,7.87,0,1.73,1.43,2.07,2.87,0,3.43,2.77,3.83,7.73,1.63,3.87,4.9,3.9,3.3,2.27,3.27,4.6,1.43,2.4,NA,2.93,2,3.4,1.1,3.73,3.53,4.53,3.77,2.3,2.27,0,2.63,5.53,3.07,2.1,5.27,4.43,1.63,0,NA,0.73,3.3,2.8,3.3,4.57,4,3.43,0.1,1.9,1.97,2.83,5.03,1.1,1.3,0,4.7,2.7,3.73,3.63,0.67,0.67,3.23,1.47,1.67,0,0,1.93,0,3.17,1.57,6.2,0,3.13,0,4.9,3.87,0,0,5.87,2.3,1.77,3.1,2.9,4.47,2.23,2.1,2.53,6.27,NA,1.3,1.3,6.53,2.2,0.37,0,0,1.6,1.97,0,3.67,2.83,4.77,0.73,0.83,0,2.17
30,"trial",2.43,1.4,2.37,3.9,4.43,0.8,1.33,4.93,1.17,5.73,3.1,3.83,4.53,4.47,1.77,5.13,5.2,2.07,0,3.4,2.67,1.83,2.33,1.87,5.2,2,1.93,1.6,1.17,3.57,0,2.73,1.53,NA,3.57,0.83,1.33,1.67,1.13,2.97,3.8,3,4.73,4.3,5.7,3.17,2.73,4.07,0,5.83,7.2,3.37,4.7,NA,0,5.1,4.2,0.43,2.6,5.17,3.47,2.8,3.4,3.07,1.07,3.23,2.37,1.3,1.93,5.53,0.67,3.5,2.7,0.13,0.13,1.33,1.9,2.17,0.8,3.63,7.3,1.6,4.4,5.3,5.2,1.93,3,2.47,4.47,5.6,0,3,3.73,2.63,3,2.7,3.23,0,3.1,2.37,4.73,4.5,NA,2.47,2.47,5.5,0.43,2.67,0.87,0.87,2,3.03,0.97,3.13,4.43,3.97,0,2.13,2.33,0
32,"trial",3.93,3.93,2.7,5.77,4.53,3.23,5.7,2.37,3.43,5.4,2.4,1.6,4.7,4.5,1.57,2.23,7.33,3.37,0,2.07,2.97,1.47,1.67,3.37,1.6,3.5,1.8,0.73,3.43,1.33,3.7,1.67,2.1,NA,3.33,2.17,3.8,0.33,2.4,4.1,4.43,4.4,1.87,3.87,4.2,0.63,3.5,2.3,8.4,5.97,6.67,4.23,2.47,NA,4.63,2.03,5.1,4.1,5.5,3.4,2.13,2.8,3.07,2.73,3.73,3.3,2.63,1.13,1.23,4.47,2.33,3.1,2.27,2.4,2.4,2.47,0,2.73,0,3.17,1.4,4.97,0,4.8,4.7,2.93,1.3,5.93,0,4.1,3.8,2.5,2.37,2.83,3.33,0.63,1.37,0.93,2.2,1.13,0,10.7,NA,2.93,2.93,5.03,5.27,1.63,0.27,0.27,1.13,2.5,2.27,1.03,0,3.83,2.83,1.37,4.97,2.83
34,"trial",5.27,2.8,3.03,3.2,4.43,3.7,0,3.07,3.37,3.77,1.77,2.67,8.37,7.03,2.5,3.23,8.53,1.1,6.7,1.73,1.17,2.57,1.87,4.73,4.17,1.47,2.5,1.47,3.37,2.37,4.17,2.93,2.27,NA,4.17,1.77,2.77,3.5,4.13,4.2,1.6,5.27,4.07,3.17,1.77,3.2,5.03,3.03,4.23,5.07,5.53,1.6,1.4,NA,3.03,0,6.73,3.23,3.63,3.63,4.77,1.83,2.17,3.03,3.6,2.03,2.87,1.7,1.93,3.93,3.5,3.87,2.43,2.27,2.27,2.73,2.2,2.73,3.27,0,3.13,3.9,2.83,3.87,2,1.3,2.53,0,7.43,3.63,4.9,2.97,5.5,3.13,3.8,3.77,4.83,3.8,4.03,1.27,5.27,0,NA,1.77,1.77,0,2.63,3.83,0.67,0.67,1.17,1.53,1.87,3.4,3.8,2.17,0.9,2.23,0.83,2.7
36,"trial",2.9,2.93,1.33,3.83,7.83,3.8,6.87,3.83,2.3,3.17,4.3,2.93,4.23,1.93,0,3.33,4.63,2.57,0,0,1.33,1.53,4.27,3.77,6.67,0,3.53,2.3,2.3,1.23,0,2.4,2.43,NA,4.97,4.73,4.7,1.37,2.17,7.07,3.43,3.8,4.67,3.87,0,0,6.77,0,3.6,7.57,6.6,3.33,1.97,NA,2.07,2.8,6.13,3.93,5.13,4.2,6.07,1.13,3.57,2.3,3.8,0.67,1.57,0.73,0.93,4.67,1.47,4.8,2.23,0.57,0.57,2.43,1.37,1.73,0,0,3.43,2.77,3.23,3.47,0,2.5,4.77,4.87,4.73,4.47,4.13,5.67,4.27,2.87,4.53,0,4.57,3.33,0,2.47,6.43,3.47,NA,2.67,2.67,0,2.1,5,0,0,2.3,3.03,5.53,3.23,2.6,2.73,2.67,1.07,2.13,0.87
38,"trial",3.13,1.83,2.87,4.47,4.8,4.3,1.63,2.97,0.47,4.57,2.53,0,8.17,5.27,3.83,5.87,5.13,6.43,1.93,2.47,0.87,4.7,4.2,2.17,5.4,2.1,3.03,2.27,0.47,1.43,4.5,2.4,2.3,NA,4.23,4.17,3.3,3.3,0,5.33,1.6,2.83,3.7,6,2.4,2.33,2.3,0,5.3,3.23,6.2,0.63,6.67,NA,3.27,4.17,6.23,3.63,2.7,1.6,6.03,0,3.9,1.63,2.3,3.77,3,0,0.9,3.27,2.6,3.57,2.63,1.5,1.5,0,1.97,2.07,1.4,5.53,4.6,5.43,2.87,0,4.57,0.63,3.23,0.57,3.3,5.43,4.77,3.37,6.6,3.33,1.8,6.17,3.33,2.43,0,0,2.33,4.1,NA,2.67,2.67,2,4.2,3.23,2.37,2.37,4.53,1.7,1,3.97,3.93,3.33,0.97,2.1,0,1.7
40,"trial",1.33,4.43,4.6,5.07,3.23,3.73,1.63,3.1,2,3.83,2.37,2.3,6.03,7.5,0,0,5.33,3.87,0.07,3.43,3.63,2.17,5.27,2.97,3.5,0,1.93,0.57,2,2.67,3.23,1.5,2.1,NA,4.37,1.87,2.57,3.3,3.8,39.33,1.8,4.5,3.43,4.13,1.03,4.4,4,0,3.2,1.57,8.43,1,3.13,NA,2.27,1.1,0,2.17,5.17,0.87,3.97,1.73,3.77,2.47,3.67,0.77,3.57,2.23,1.97,4.7,0,4.7,0,0,0,1.67,2.17,1.9,1.4,3.37,4.97,4.47,2.97,0.67,5.23,2.03,3.03,8.47,2.5,3.6,6.83,2.87,2.43,0,4.07,4.6,5.4,4.4,2.47,1.73,3.03,1.5,NA,3.07,3.07,1.5,3.2,0,1.9,1.9,0,0.93,0,4.03,5.5,6.2,0.87,3.53,1.5,1.87
42,"trial",6.83,3.03,3.7,4.33,6.23,0,2.47,4.5,0,5,2.57,0,6.3,0.9,3.33,4.43,1.9,3.73,3.4,2.93,1.47,3.63,2.47,2.87,4.3,3,2.8,0.4,0,1.8,0,2,1.93,NA,3.9,2.6,1.97,2.63,3.83,1.93,3.4,4.23,4.67,3.6,1.73,4.8,5.73,0,3.47,3.37,7.07,2.9,2.73,NA,4.07,4.33,6.83,4.9,6.5,3.53,3.23,1.07,3.7,3.27,3.73,1.83,2.23,0.47,2.23,5.53,3.33,1.17,2.27,2.77,2.77,2.83,2,0,0,1.77,5.87,4.03,4.03,0,3.77,1.87,3.77,8.5,3.87,4.83,6.03,3.3,4.57,2.07,6.43,1.87,5.4,3.77,1.73,3.53,5.93,2.87,NA,1.9,1.9,0,2.43,2.7,1.2,1.2,3.43,2.4,0,2.87,4.03,4.3,0,0.8,0,0.93
44,"trial",4.5,1.83,3.43,0,5.33,0,2.73,3.13,3.93,4.73,3.03,2.03,6,3.07,0.5,3.77,4.43,2.97,4.57,1.97,3.23,2.07,4.27,2.13,5.4,0,2.87,2.77,3.93,15.53,2.03,5.63,3.93,NA,3.07,1.2,3.7,5.4,0,3.8,3.1,5.57,0.87,4.07,4.4,3.27,5.93,0,0,7.4,6.5,2.27,0,NA,2.87,2.57,7.2,2.53,4.9,2.57,6.8,3.2,2.8,2.07,2.87,2.5,1.7,1.33,1.97,4.7,1.57,3.27,2.13,0.53,0.53,1.57,1.7,2.77,0.63,0.53,0,4.4,3.6,4.17,5.13,4.5,4.3,5.83,4.53,5.27,6.07,3.2,4.2,0,3.1,0.17,3.5,2.33,0,3.5,6.1,3.37,NA,2.33,2.33,0,2,0,0,0,0.8,1.67,0.93,3.87,4,4.73,2.73,1.8,4.07,2.5
46,"trial",3.33,3.93,2.37,6.73,9.07,3.8,1.8,3.27,1.97,4.3,4.83,11.37,0,4.9,2.07,4.8,3.03,2.67,1.23,4.93,1.7,3.7,4.67,2.37,2.17,4.2,0,0,1.97,2.77,3.13,3.6,4.37,NA,4.13,2.73,1.77,3.83,2.37,4.27,2.23,3.5,5.9,3.43,5.23,4.5,0,2.73,0,1.03,7.37,4.07,4.07,NA,0,3.73,5.9,3.1,4.4,2.9,3.83,3.77,1.87,2.6,3.5,4.17,3.37,3.07,0,5.77,3.57,2.73,2.07,1,1,2.23,3.93,1.93,2,2.9,3.97,5.03,0,4.73,3.9,2.5,3.6,5.53,4.63,5.3,6.67,4.37,6.87,2.23,5.53,1.87,3.07,5.27,0.6,1.67,3.57,3.53,NA,2.83,2.83,0,3.4,1.93,2.03,2.03,2.93,3.6,3.17,3.9,2.73,0,0.6,1.5,1.23,0
48,"trial",4.1,0,1.73,5.2,4.73,0,2.1,7.97,2.93,6.13,2.93,2.87,4.8,6.3,0,1.43,4.3,2.63,0,2.27,5.43,2.43,5.87,3.6,7.73,0,0,2.13,2.93,2.47,3.7,2.1,3.87,NA,4.03,3.97,3.33,2.5,3.83,9.63,2.47,3.4,4.8,4.17,3.87,3.7,6.47,3.57,0,1.87,7.9,3.37,5.77,NA,3.97,3.5,6.3,4.83,6.13,3.93,2.83,3.83,3.9,2.17,3.87,4.1,2.3,2.1,3.1,5.57,1.13,0,2.5,2.27,2.27,2.07,3.4,0.87,4.6,2.47,5.4,2.07,5.17,3.3,4,2.4,1.87,3.2,4.27,4.6,5.63,2.07,3.3,4,2.7,3.4,6,4.83,2.43,2.17,3.77,3.9,NA,2.5,2.5,7.67,3.97,2.27,1.47,1.47,0.77,1.77,3.4,3.87,3.1,5.57,1.3,1.4,0,3.67
