"phase","phase_type","NT_CS_1","NT_CS_10","NT_CS_11","NT_CS_12","NT_CS_13","NT_CS_14","NT_CS_15","NT_CS_16","NT_CS_17","NT_CS_18","NT_CS_19","NT_CS_2","NT_CS_20","NT_CS_3","NT_CS_4","NT_CS_5","NT_CS_6","NT_CS_7","NT_CS_8","NT_CS_9","NT_OR_1","NT_OR_10","NT_OR_11","NT_OR_12","NT_OR_13","NT_OR_14","NT_OR_15","NT_OR_16","NT_OR_17","NT_OR_18","NT_OR_19","NT_OR_2","NT_OR_20","NT_OR_3","NT_OR_4","NT_OR_5","NT_OR_6","NT_OR_7","NT_OR_8","NT_OR_9","OT_CS_1","OT_CS_10","OT_CS_11","OT_CS_12","OT_CS_13","OT_CS_14","OT_CS_15","OT_CS_16","OT_CS_17","OT_CS_18","OT_CS_19","OT_CS_2","OT_CS_20","OT_CS_3","OT_CS_4","OT_CS_5","OT_CS_6","OT_CS_7","OT_CS_8","OT_CS_9","OT_OR_1","OT_OR_10","OT_OR_11","OT_OR_12","OT_OR_13","OT_OR_14","OT_OR_15","OT_OR_16","OT_OR_17","OT_OR_18","OT_OR_19","OT_OR_2","OT_OR_20","OT_OR_3","OT_OR_4","OT_OR_5","OT_OR_6","OT_OR_7","OT_OR_8","OT_OR_9","TT_CS_1","TT_CS_10","TT_CS_11","TT_CS_12","TT_CS_13","TT_CS_14","TT_CS_15","TT_CS_16","TT_CS_17","TT_CS_18","TT_CS_19","TT_CS_2","TT_CS_20","TT_CS_3","TT_CS_4","TT_CS_5","TT_CS_6","TT_CS_7","TT_CS_8","TT_CS_9","TT_OR_1","TT_OR_10","TT_OR_11","TT_OR_12","TT_OR_13","TT_OR_14","TT_OR_15","TT_OR_16","TT_OR_17","TT_OR_18","TT_OR_19","TT_OR_2","TT_OR_20","TT_OR_3","TT_OR_4","TT_OR_5","TT_OR_6","TT_OR_7","TT_OR_8","TT_OR_9"
24,"trial",4.13,2.67,1.53,NA,3.9,2.8,1.5,2.23,0.93,2.87,NA,1.4,3.2,2.1,1.23,3.2,1.07,1.67,NA,NA,1.07,1.23,1.13,1.73,2.93,NA,1.37,1.03,0.93,1.67,3.5,0.97,1.13,NA,1.03,1.3,1.8,1.27,0.87,2.03,0.8,3.63,3.4,1.37,1.8,3.27,4.4,3.97,2.1,4.33,6.33,3.37,3.57,NA,3.03,3.9,3.17,3.9,3.37,0.77,2.13,1.63,1.13,1.53,0.6,1.93,0.5,0.67,0.47,3.1,1.6,2.1,0.4,0.3,0.3,1.27,0.83,1.5,NA,2.2,NA,1.83,2.1,1.93,1.93,0.87,1.8,1.83,4,3.9,4.8,2.3,2.4,0.73,3,1.43,2.33,3.17,2.37,NA,NA,0.07,NA,1.83,1.83,1.47,2.8,1.03,0.83,0.83,0.57,3,0.7,1.8,2.43,3.5,1,0.4,1.37,NA
26,"trial",2.93,1.43,0.67,1.53,2.07,1.6,1.83,3.77,1.4,NA,1.67,1.73,2.43,2.97,1.8,3.57,2.83,0.17,2.4,NA,0.8,1.9,1.7,1.63,2.37,0.07,0.87,1.53,1.4,1.53,1.27,1.5,1.57,NA,0.87,2.5,4.43,1.2,2.07,1.63,1.83,1.67,2.67,3.57,2.27,3.8,3.83,3.23,0.83,3.33,5.77,1.3,1.43,NA,NA,1.57,3.87,3.33,3.13,3.73,NA,1.47,2.3,1.77,0.77,2.2,1.6,0.57,0.4,2.47,0.57,4.17,1.7,1.9,1.9,1.8,1.47,0.63,NA,4.9,0.4,1.9,NA,NA,2.47,2.1,2.77,0.43,3.43,3.93,4.2,1.13,1.53,1.83,2.63,NA,2.93,2.8,2.07,0.17,1.43,2.23,NA,0.67,0.67,NA,1.87,0.37,0.67,0.67,1.33,2.03,0.5,1.83,4.6,2.77,NA,0.5,0.97,1.17
28,"trial",2,1.07,2.8,3.33,2.67,1.43,NA,4.27,0.07,NA,1.87,2.8,4.57,NA,1.73,1.43,1.93,1.47,NA,2.1,1.3,2.43,1.03,1.03,2.13,0.63,1.4,1.93,0.07,2.07,4.67,0.37,1.47,NA,1.9,2.1,2.4,0.83,1.47,3.23,1.67,3.7,2.2,2.23,NA,2.8,4.17,2,0.4,4.33,3.9,1.5,NA,NA,0.63,3.13,2.03,3.47,2.43,3.83,2.4,0.2,1.77,1.07,2.73,2.87,1.13,0.37,NA,4.23,0.5,2.83,1.7,0.6,0.6,1.63,0.87,0.8,NA,NA,1.87,NA,2.5,1.3,4.83,NA,2.3,NA,4.2,3.77,NA,NA,2.53,2.27,1.53,3.37,2.13,3.73,2.13,1.63,2.23,2.37,NA,0.77,0.77,3.17,0.73,0.07,NA,NA,0.97,1.7,NA,NA,1.77,2.4,0.8,0.83,NA,0.9
30,"trial",1.67,1.53,1.1,3.9,3.13,1.5,0.93,3.2,0.97,3.53,2.3,1.73,4.57,3.03,1.6,3.8,1.33,0.67,NA,1.97,3.5,0.93,1.77,1.4,4.97,0.07,1.77,NA,0.97,1.5,NA,2.1,0.97,NA,1.83,0.87,1.5,0.8,1.27,2.5,1.37,2.83,1.3,3.83,2.03,2.7,2.67,2.33,NA,4.37,5.73,2.83,4.2,NA,NA,2.87,3.37,1.63,2.63,3.03,2.9,2,2.97,1.9,1.1,1.27,1.37,0.63,0.93,4.83,0.57,1.7,1.8,0.17,0.17,1.33,1.17,1.13,0.6,3.67,2.8,1.07,0.4,5.4,3.9,1.83,2.57,1.33,4.33,4.9,NA,1.87,2.77,1.93,1.73,1.9,1.5,NA,2.93,1.97,1.7,3.67,NA,1.53,1.53,3.07,0.43,2.53,0.53,0.53,1.17,1.57,0.77,2.47,0.57,4.27,NA,1.2,0.57,NA
32,"trial",2.2,2.8,2.37,4.2,2.33,2.17,3.83,1.9,1.33,4.53,1.83,1.33,4.9,2.8,1.7,1.7,2.9,2.47,NA,3.47,1.07,1.03,1.67,1.97,0.07,2.43,4.27,0.5,1.33,1.03,1.07,0.6,2,NA,2.47,60,1.83,0.3,1.27,3.5,2.13,2.93,1.87,2.53,2.43,1.7,1.9,1.37,1.7,5.17,6.23,3,2.43,NA,4.13,1.67,5.07,3.17,3.2,3.23,1.63,1.83,2.17,1.53,2.17,1.8,1.2,0.4,0.67,4.33,0.53,3.03,0.9,0.37,0.37,1.23,NA,1.43,NA,1.93,1.83,2.83,NA,3.4,3.43,2.17,0.83,4.47,NA,3,4.87,1.7,1.6,2.07,2.83,1.6,1.17,0.9,1.7,0.17,NA,10.97,NA,1.9,1.9,NA,5.27,1.63,0.27,0.27,0.5,2.53,2.2,1.13,NA,2.23,1.4,0.53,3.07,1.37
34,"trial",3.33,2.8,1.83,3.17,1.87,2.47,NA,1.93,0.83,2.93,2.77,1.6,4.5,1.93,1.93,2.63,3.1,1.7,2.03,1.9,0.97,1.63,1.93,2.77,3.9,0.07,0.9,0.53,0.83,1.63,1.6,1.4,2.1,NA,2.6,1.93,2.87,3.6,1,3.57,0.47,2.97,2.7,2.63,0.1,3.13,4.43,2.3,3.2,3.97,5.37,1.83,1.4,NA,1.97,NA,3.47,2.83,3.13,2.47,2.77,1.77,1.43,1.6,3.6,1.1,1.9,0.4,1.8,3.43,1.8,3.57,1.77,0.57,0.57,1.67,1.6,1.4,1.6,NA,2.57,1.3,2.1,2.83,1.7,1.4,2.17,NA,4.43,3.63,4.13,1.17,1.93,1.3,2.47,3.1,2.97,2.5,1.43,0.07,2.9,NA,NA,1.53,1.53,NA,1.87,2.27,0.37,0.37,1.17,0.2,0.5,3.1,2.3,2.13,0.87,1.37,0.83,1.37
36,"trial",0.07,1.97,0.5,2.9,4.97,2.93,2.9,3.53,0.9,3.13,1.17,2.07,4.23,4.23,NA,3.27,2.23,1.87,NA,NA,1.07,2.2,3.47,2.13,3.97,NA,1.23,1.6,0.9,0.8,NA,0.33,1.57,NA,2.57,2.03,1.9,59.47,1.37,3.27,2.4,3.7,2.4,2.97,NA,NA,5.63,NA,3.57,5.3,5.93,2.43,35.77,NA,1.9,2.3,3.53,3.9,3.87,4.63,2.07,1.8,2.3,1.77,2.47,0.67,0.8,0.27,0.8,4.07,1.27,3.97,1.63,0.4,0.4,1.6,1.2,0.8,NA,NA,3.67,2.3,1.83,3.4,NA,2.2,3.73,3.47,4.7,3.67,2.97,2.23,2.4,2.57,3.33,NA,3.13,1.43,NA,2.03,3,0.07,NA,2.13,2.13,NA,1.23,2.2,NA,NA,1.4,2.4,0.93,2.47,1.93,0.9,1.93,0.9,0.1,0.8
38,"trial",3,0.73,2.23,4.5,4.03,2.73,0.93,3.27,0.5,4.53,1.5,NA,2.4,4.03,2.73,4.1,1.5,2.1,1.67,1.73,0.53,2.03,1.93,1.6,3.73,1.43,3.27,1.2,0.5,1.3,3.87,1.8,0.97,NA,2.37,0.87,2.17,1.57,NA,4.17,1.6,2.67,2.73,4.93,2.13,1.53,2.5,NA,1.13,3.2,6.13,0.57,2,NA,2.9,3.4,4.63,1.83,2.63,2.27,5.97,NA,3.33,1.53,2.23,1.57,2.27,NA,0.73,1.87,1.9,1.77,1.77,1.13,1.13,NA,1.97,1.07,0.67,5.67,4.13,2.57,1.87,NA,3.57,0.1,2.33,1.87,3.03,5.43,4.47,2.93,4.6,2.47,1.77,3.93,2,2.13,NA,NA,24.03,3.57,NA,1.87,1.87,0.63,2.03,1.53,1.3,1.3,1.73,0.63,1.47,3.33,0.67,1.17,0.93,1.07,NA,3.57
40,"trial",2.03,4.37,2.8,4.17,3.07,2.57,1.37,3.07,0.53,2.77,1.67,2.37,4.97,4.37,NA,NA,3.07,1.5,0.07,2.03,1.87,1.63,3.6,1.77,3.87,NA,0.87,0.87,0.53,1.63,1,0.37,1.03,NA,1.47,1.43,1.83,1.67,1.8,1.73,1.67,3.97,1.77,3.73,0.3,3.3,3.8,NA,3.37,2.47,8.23,0.8,2.9,NA,2.13,0.7,NA,2.27,3.53,0.53,2.23,0.8,3.2,1.53,3.6,0.33,2.53,0.93,1.3,3.77,NA,3.83,NA,NA,NA,0.6,1.27,1.03,1.43,2.47,1.7,2.43,2.73,1.5,2.97,1.63,1.77,0.67,3.1,3.77,5.77,2.2,2.2,NA,2.67,3.13,3.8,2.7,2.3,1.77,2.97,1.47,NA,1.7,1.7,5.53,1.83,NA,1.37,1.37,NA,0.27,NA,3.27,2.37,0.83,0.77,1.23,1.47,2.03
42,"trial",3.8,2.23,2.17,3.4,4.73,NA,1.03,3.73,NA,4.83,1.27,NA,4.6,1.67,1.73,3.67,1.8,2.03,2.33,2.9,1.17,2.07,3,3.6,4.47,2.67,0.83,0.27,NA,1.63,NA,1.47,1.87,NA,1.77,1.37,1.8,1.1,2.1,1.9,3.2,3.47,2.63,3.7,1.8,3.13,4.73,NA,2.77,3.03,5.6,0.77,2.63,NA,3.33,2.53,4.93,3.67,4.23,2.5,2.07,1,3.23,1.77,2.13,1.43,2.2,0.4,1.2,4.47,1.6,2.07,0.5,1.43,1.43,1.7,1.17,NA,NA,1.53,3.03,1.5,3.97,NA,2.5,2.13,3.53,4.47,3.8,4.47,4.27,2.67,2.97,1.2,2.57,1.87,5.5,3.37,1.57,3.5,2.6,4.27,NA,1.9,1.9,NA,1.43,2.67,0.5,0.5,0.6,1.97,NA,2.6,2.17,0.73,NA,0.63,NA,60
44,"trial",3.67,0.83,2.47,NA,4.73,NA,2.53,2.97,1.83,4.43,2.73,1.97,3.5,2.57,0.17,2.23,2.97,2.57,2.27,2.43,1.2,1.63,3.43,2.4,3.97,NA,0.73,1.53,1.83,16.93,0.37,5.67,3,NA,1.07,0.83,2.03,5.4,NA,3.3,2.5,3.67,0.87,2.27,1.23,2.63,5.27,NA,NA,2.07,5.5,2.17,NA,NA,2.77,1.77,7.13,1.9,3.97,2.7,6.8,2.87,1.47,1.83,2.8,1.83,1.4,0.43,0.77,2.97,0.9,2.77,2,0.3,0.3,1.4,0.93,1.27,0.23,0.7,NA,1.4,3.33,3.53,2.93,2.8,3.3,1.9,3.47,4.13,2.77,1.77,4.1,NA,3.03,0.67,3.2,2.23,NA,3.33,3.73,3.3,NA,1.47,1.47,NA,1.57,NA,NA,NA,0.77,1.33,4.07,3.03,1.37,1.73,1.03,0.7,3,1.37
46,"trial",1.97,2.67,1.7,2.13,4.73,2.33,0.73,2.63,0.87,3.67,3.7,12.13,NA,3.97,1.67,3.37,2.03,2.6,1.7,3.9,1,2.97,3.93,1.4,6.13,2.63,NA,NA,0.87,1.07,59.97,1.43,3.4,NA,2.4,2.67,1.73,3.97,0.97,4.33,2.17,3.6,2.9,3.47,1.77,2.73,NA,2.7,NA,0.9,6.1,3.3,2.33,NA,NA,3.7,4.73,1.63,3.1,2.7,3,2.1,1.77,1.5,1.57,2.13,2.23,0.43,NA,4.77,0.6,2.73,2.87,0.4,0.4,1.67,1.5,1.03,1.13,2.23,2.6,3.03,NA,3.97,3.87,2.43,1.93,3.8,4.27,5.37,4.23,1.8,3.03,1.7,3.33,1.47,2.77,4.57,0.4,1.27,3.37,2.33,NA,1.37,1.37,NA,1.97,0.53,1.23,1.23,1.77,1.83,1.87,3.6,1.4,NA,0.57,1.1,1.13,NA
48,"trial",3.3,NA,0.97,3.23,3.7,NA,1.8,2.87,0.97,3.17,2.73,2.27,4.97,4.67,NA,1.43,1.97,3.3,NA,1.77,1.37,1.53,3.33,2.2,6.27,NA,NA,0.43,0.97,1.67,1.53,1.1,3.83,NA,1.63,2.53,4.07,2.5,1.6,NA,1.53,3.37,2.83,2.73,3.2,1.87,1.33,3.03,NA,1.63,6.13,0.73,4.8,NA,3.83,2.2,4.57,3.63,4.67,3.07,2.23,1.27,3.1,1.93,1.83,2.7,3.17,1.27,1.33,3.73,0.37,NA,2.07,0.33,0.33,1.3,3.1,0.27,1.6,0.67,3.93,2.67,3.6,2.63,3.2,2.4,1.7,2.2,4.43,4.23,5.2,1.27,3.27,3.87,2.77,1.77,3.47,2.47,2.33,2.07,3.77,3.8,NA,1.4,1.4,3.53,3.07,1.2,1.23,1.23,1.6,1.6,0.9,2.97,0.97,0.6,1.3,0.4,NA,3.03
