"video","phase","phase_type","pole_location","safe_location","start_position","time_to_start_moving","time_in_pole_initial","time_in_safe_initial","time_in_safe_total","time_outside_safe_after_reaching","time_to_safe","start_in_pole","first_to_safe","first_to_closest","dist_to_safe","speed_to_safe","previously_safe_first","dead_fly"
"NT_CS_3",10,"trial","M","left","pole",1.8,4.83,0.6,50.23,4.93,4.83,1,1,0,26.5859256968031,0.0530939802226129,1,0
"NT_CS_3",12,"trial","M","right","pole",2.67,4.23,34.6,55.23,0.53,4.23,1,1,0,11.2041083722833,0.0255467159554084,0,0
"NT_CS_3",14,"trial","M","left","pole",2.3,3.1,56.9,56.9,0,3.1,1,1,1,11.3444605557683,0.0353233919409898,0,0
"NT_CS_3",16,"trial","M","left","pole",2.63,6.2,27.07,46.83,0.27,12.9,1,0,1,33.7379666732475,0.0252446549588814,0,0
"NT_CS_3",18,"trial","M","right","pole",1.97,2.83,49.17,49.17,0,10.83,1,0,0,19.2437883825608,0.0171462325950942,1,0
"NT_CS_3",20,"trial","M","right","pole",2.5,3.3,56.7,56.7,0,3.3,1,1,1,9.30080208625002,0.0272048733071546,1,0
"NT_CS_3",22,"trial","M","left","pole",2.77,3.9,56.1,56.1,0,3.9,1,1,1,19.5169281968566,0.0483044455916657,0,0
"NT_CS_3",24,"trial","M","right","pole",2.1,2.17,57.83,57.83,0,2.17,1,1,1,10.2869281651292,0.0458283108039612,0,0
"NT_CS_3",26,"trial","M","left","pole",2.97,8.8,51.2,51.2,0,8.8,1,1,0,13.1757244411442,0.0144521371985172,0,0
"NT_CS_3",28,"trial","M","right","unsafe",NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0
"NT_CS_3",30,"trial","M","right","pole",3.03,4.47,55.53,55.53,0,4.47,1,1,1,9.46252885793168,0.0204486159264933,1,0
"NT_CS_3",32,"trial","M","left","pole",2.8,4.5,55.5,55.5,0,4.5,1,1,0,20.9300020658186,0.0448948993260802,0,0
"NT_CS_3",34,"trial","M","left","pole",1.93,7.03,52.97,52.97,0,7.03,1,1,1,17.1533191546808,0.0235411249355168,1,0
"NT_CS_3",36,"trial","M","right","pole",4.23,1.93,48.53,48.53,0,11.47,1,0,1,22.788376788892,0.0191829965337041,1,0
"NT_CS_3",38,"trial","M","right","pole",4.03,5.27,54.73,54.73,0,5.27,1,1,1,6.33370883485013,0.0116081365185905,1,0
"NT_CS_3",40,"trial","M","left","pole",4.37,7.5,50.87,50.87,0,9.13,1,0,1,14.1694973496382,0.0149749499932765,1,0
"NT_CS_3",42,"trial","M","left","pole",1.67,0.9,59.1,59.1,0,0.9,1,1,1,11.2049785162668,0.120173514760476,1,0
"NT_CS_3",44,"trial","M","right","pole",2.57,3.07,56.93,56.93,0,3.07,1,1,1,9.28639950853042,0.0292294763782013,0,0
"NT_CS_3",46,"trial","M","right","pole",3.97,4.9,50.87,50.87,0,9.13,1,0,1,13.729666743046,0.0145101176017875,0,0
"NT_CS_3",48,"trial","M","left","pole",4.67,6.3,53.7,53.7,0,6.3,1,1,1,9.63379474704236,0.0147603645692259,0,0
"NT_CS_3",50,"trial","M","left","pole",3.53,4.43,47.13,47.13,0,12.87,1,0,1,25.4537503716341,0.0190952775508888,0,0
"NT_CS_3",52,"trial","M","right","pole",2.1,3.5,49.5,49.5,0,10.5,1,0,0,22.2919129328594,0.0204926575959362,1,0
"NT_CS_3",54,"trial","M","right","pole",1.6,4.6,55.4,55.4,0,4.6,1,1,1,9.69058698685837,0.0203344531367684,1,0
"NT_CS_3",56,"trial","M","left","pole",3.3,5.1,52.97,52.97,0,7.03,1,0,1,14.8524137743021,0.0203833745004054,1,0
"NT_CS_3",58,"trial","M","right","pole",1.43,3.97,56.03,56.03,0,3.97,1,1,1,9.45338617451982,0.0230039246970892,0,0
"NT_CS_3",60,"trial","M","right","pole",3.8,4.8,51.3,51.3,0,8.67,1,0,1,13.6836478101859,0.0152401779887726,0,0
"NT_OR_1",2,"trial","M","left","safe",NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0
"NT_OR_1",4,"trial","M","right","pole",1.8,3.43,56.6,56.6,0,3.43,1,1,1,7.1076391814186,0.0199824919820968,0,0
"NT_OR_1",6,"trial","M","left","pole",1.1,1.47,58.53,58.53,0,1.47,1,1,1,3.95312493714733,0.0260165295091304,0,0
"NT_OR_1",8,"trial","M","left","pole",1,1.2,57.23,57.23,0,2.77,1,0,1,5.88490607373427,0.0205316069930721,0,0
"NT_OR_1",10,"trial","M","right","pole",1.13,1.33,58.67,58.67,0,1.33,1,1,1,8.64105824494355,0.0625559235879118,0,0
"NT_OR_1",12,"trial","M","left","pole",1,2.17,57.83,57.83,0,2.17,1,1,0,5.11641086425046,0.022793633193869,0,0
