"","mother_id","unique_m","unique_mm","Speed_m","Speed_mm","Temp_m","Temp_mm","Condition_m","Condition_mm","Sex_m","Sex_mm","mom_c"
"1371","H94","H94_3HHmales","H94_2HCmales",0.745293604,0.63393901,40,40,"HH","HC","M","M","H"
"1372","H97","H97_9HHmales","H97_2HCmales",0.895315816,0.894648783,40,40,"HH","HC","M","M","H"
"1373","C10","C10_2CCmales","C10_2CHmales",0.027423327,0.337059503,42,42,"CC","CH","M","M","C"
"1374","C111","C111_2CCmales","C111_1CHmales",0.032280161,0.57231984,42,42,"CC","CH","M","M","C"
"1375","C112","C112_2CCmales","C112_6CHmales",0.024860333,0.69556452,42,42,"CC","CH","M","M","C"
"1376","C126","C126_2CCmales","C126_2CHmales",0.013077353,0.668148625,42,42,"CC","CH","M","M","C"
"1377","C132","C132_2CCmales","C132_2CHmales",0.034120949,0.433407793,42,42,"CC","CH","M","M","C"
"1378","C134","C134_2CCmales","C134_2CHmales",0.087200104,0.535482608,42,42,"CC","CH","M","M","C"
"1379","C14","C14_2CCmales","C14_2CHmales",0.00272298,0.410983437,42,42,"CC","CH","M","M","C"
"1380","C145","C145_2CCmales","C145_1CHmales",0.005049346,0.285043458,42,42,"CC","CH","M","M","C"
"1381","C149","C149_2CCmales","C149_8CHmales",0.057321365,0.298815079,42,42,"CC","CH","M","M","C"
"1382","C151","C151_2CCmales","C151_2CHmales",0.031047449,0.588886869,42,42,"CC","CH","M","M","C"
"1383","C153","C153_2CCmales","C153_2CHmales",0.002320089,0.033457533,42,42,"CC","CH","M","M","C"
"1384","C156","C156_2CCmales","C156_2CHmales",0.008637549,0.369770174,42,42,"CC","CH","M","M","C"
"1385","C16","C16_2CCmales","C16_1CHmales",0.021665389,0.272447439,42,42,"CC","CH","M","M","C"
"1386","C165","C165_2CCmales","C165_2CHmales",0.003585398,0.379857503,42,42,"CC","CH","M","M","C"
"1387","C179","C179_2CCmales","C179_1CHmales",0.063637277,0.506039525,42,42,"CC","CH","M","M","C"
"1388","C182","C182_2CCmales","C182_8CHmales",0.021247145,0.15275413,42,42,"CC","CH","M","M","C"
"1389","C184","C184_2CCmales","C184_2CHmales",0.002770535,0.547847004,42,42,"CC","CH","M","M","C"
"1390","C199",NA,"C199_2CHmales",NA,0.435776125,NA,42,NA,"CH",NA,"M","C"
"1391","C21","C21_2CCmales","C21_1CHmales",0.007468779,0.138206386,42,42,"CC","CH","M","M","C"
"1392","C32","C32_2CCmales","C32_5CHmales",0.029220479,0.098415966,42,42,"CC","CH","M","M","C"
"1393","C44","C44_2CCmales","C44_9CHmales",0.006097492,0.166825199,42,42,"CC","CH","M","M","C"
"1394","C51",NA,"C51_2CHmales",NA,0.555960295,NA,42,NA,"CH",NA,"M","C"
"1395","C71","C71_2CCmales","C71_2CHmales",0.030045952,0.517611295,42,42,"CC","CH","M","M","C"
"1396","C76","C76_2CCmales","C76_6CHmales",0.015473802,0.574376835,42,42,"CC","CH","M","M","C"
"1397","C85","C85_2CCmales","C85_2CHmales",0.017544554,0.542956524,42,42,"CC","CH","M","M","C"
"1398","C93","C93_2CCmales","C93_1CHmales",0.016753296,0.112187026,42,42,"CC","CH","M","M","C"
"1399","H105","H105_9HHmales","H105_2HCmales",0.474845752,0.015194926,42,42,"HH","HC","M","M","H"
"1400","H124","H124_1HHmales","H124_2HCmales",0.863265176,0.02363103,42,42,"HH","HC","M","M","H"
"1401","H129","H129_2HHmales","H129_2HCmales",0.605210055,0,42,42,"HH","HC","M","M","H"
"1402","H13","H13_1HHmales","H13_2HCmales",0.618353507,0.00065189,42,42,"HH","HC","M","M","H"
"1403","H132","H132_2HHmales","H132_2HCmales",0.399710401,0.005920358,42,42,"HH","HC","M","M","H"
"1404","H134","H134_5HHmales","H134_2HCmales",0.516438121,0.015258088,42,42,"HH","HC","M","M","H"
"1405","H155","H155_7HHmales","H155_2HCmales",0.341110665,0.012579353,42,42,"HH","HC","M","M","H"
"1406","H161","H161_5HHmales","H161_2HCmales",0.488146936,0.007305806,42,42,"HH","HC","M","M","H"
"1407","H166","H166_2HHmales","H166_2HCmales",0.286396614,0.033880115,42,42,"HH","HC","M","M","H"
"1408","H180","H180_2HHmales","H180_2HCmales",0.301897252,0.066260391,42,42,"HH","HC","M","M","H"
"1409","H190",NA,"H190_2HCmales",NA,0.010986304,NA,42,NA,"HC",NA,"M","H"
"1410","H25","H25_1HHmales","H25_2HCmales",0.436598426,0.013522701,42,42,"HH","HC","M","M","H"
"1411","H32","H32_5HHmales","H32_2HCmales",0.368994662,0.031083578,42,42,"HH","HC","M","M","H"
"1412","H42","H42_2HHmales","H42_2HCmales",0.319672522,0.020449957,42,42,"HH","HC","M","M","H"
"1413","H50","H50_5HHmales","H50_2HCmales",0.433153925,0,42,42,"HH","HC","M","M","H"
"1414","H51","H51_6HHmales","H51_2HCmales",0.252053106,0.035972703,42,42,"HH","HC","M","M","H"
"1415","H55","H55_4HHmales","H55_2HCmales",0.509858527,0.006912356,42,42,"HH","HC","M","M","H"
"1416","H83","H83_2HHmales","H83_2HCmales",0.313311851,0.014555689,42,42,"HH","HC","M","M","H"
"1417","H86","H86_3HHmales","H86_2HCmales",0.210386689,0.010910083,42,42,"HH","HC","M","M","H"
"1418","H87","H87_5HHmales",NA,0.322319322,NA,42,NA,"HH",NA,"M",NA,"H"
