,Var1,egg_f1_m,egg_f1_mm,adult_f1_m,adult_f1_mm,F1 survival m,F1 survival mm,egg_f2_m,egg_f2_mm,adult_f2_m,adult_f2_mm,F2 survival m,F2 survival mm,climb_m,climb_mm,wsurv_m,wmulti_m,wsurv_mm,wmulti_mm,Cat_m,Cat_mm,mom_c,time_m,time_mm,missing
56,C075,10,11,7,5,0.7,0.454545455,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,CC,CH,C,NA,NA,0
57,C076,NA,12,NA,8,#VALUE!,0.666666667,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,NA,NA,1,0,NA,CH,C,NA,NA,0
58,C077,11,10,11,9,1,0.9,89,NA,56,NA,0.629213483,#VALUE!,2.62,NA,0.5,1,1,0,CC,CH,C,0,NA,0
59,C079,4,5,3,4,0.75,0.8,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,CC,CH,C,NA,NA,0
60,C080,15,15,15,12,1,0.8,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,CC,CH,C,NA,NA,0
61,C081,5,5,1,1,0.2,0.2,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,CC,CH,C,NA,NA,0
62,C082,6,7,6,6,1,0.857142857,NA,165,NA,146,#VALUE!,0.884848485,NA,2.066666667,1,0,0.333333333,1,CC,CH,C,NA,0,0
63,C085,11,10,10,9,0.909090909,0.9,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,CC,CH,C,NA,NA,0
64,C086,1,NA,0,NA,0,#VALUE!,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,NA,NA,CC,NA,C,NA,NA,0
65,C087,7,10,7,10,1,1,NA,200,NA,101,#VALUE!,0.505,NA,2.993333333,1,0,1,1,CC,CH,C,NA,56,0
66,C089,2,2,0,1,0,0.5,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,CC,CH,C,NA,NA,0
67,C091,6,5,4,5,0.666666667,1,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,CC,CH,C,NA,NA,0
68,C092,10,11,2,6,0.2,0.545454545,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,CC,CH,C,NA,NA,0
69,C093,10,11,9,10,0.9,0.909090909,105,193,80,177,0.761904762,0.917098446,3.146666667,3.575333333,1,1,0.333333333,1,CC,CH,C,18,68,0
70,C094,5,5,4,4,0.8,0.8,NA,191,NA,179,#VALUE!,0.937172775,NA,3.202333333,1,0,1,1,CC,CH,C,NA,21,0
71,C096,7,9,7,8,1,0.888888889,0,NA,0,NA,#DIV/0!,#VALUE!,2.793333333,NA,0.5,1,1,0,CC,CH,C,67,NA,0
72,C097,8,8,8,8,1,1,77,174,52,120,0.675324675,0.689655172,1.926666667,3.398666667,1,1,1,1,CC,CH,C,51,32,0
73,C100,10,10,0,0,0,0,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,CC,CH,C,NA,NA,0
74,C101,4,3,4,3,1,1,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,CC,CH,C,NA,NA,0
75,C102,3,1,3,1,1,1,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,CC,CH,C,NA,NA,0
76,C103,5,6,5,5,1,0.833333333,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,CC,CH,C,NA,NA,0
77,C104,3,3,2,3,0.666666667,1,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,CC,CH,C,NA,NA,0
78,C105,9,10,2,4,0.222222222,0.4,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,CC,CH,C,NA,NA,0
79,C106,2,1,2,1,1,1,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,CC,CH,C,NA,NA,0
80,C107,7,7,3,6,0.428571429,0.857142857,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,CC,CH,C,NA,NA,0
81,C111,6,7,5,5,0.833333333,0.714285714,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,CC,CH,C,NA,NA,0
82,C112,6,6,6,6,1,1,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,CC,CH,C,NA,NA,0
83,C113,2,3,2,3,1,1,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,CC,CH,C,NA,NA,0
84,C114,9,9,7,6,0.777777778,0.666666667,93,119,77,72,0.827956989,0.605042017,3.273333333,2.745333333,0.333333333,1,0.5,1,CC,CH,C,0,52,0
85,C115,6,5,2,4,0.333333333,0.8,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,CC,CH,C,NA,NA,0
86,C116,5,5,0,0,0,0,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,CC,CH,C,NA,NA,0
87,C117,4,4,4,4,1,1,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,CC,CH,C,NA,NA,0
88,C119,11,12,8,2,0.727272727,0.166666667,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,CC,CH,C,NA,NA,0
89,C120,10,10,10,9,1,0.9,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,CC,CH,C,NA,NA,0
90,C121,3,3,3,3,1,1,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,CC,CH,C,NA,NA,0
91,C123,7,8,6,7,0.857142857,0.875,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,CC,CH,C,NA,NA,0
92,C125,9,8,0,0,0,0,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,CC,CH,C,NA,NA,0
93,C126,8,9,8,8,1,0.888888889,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,CC,CH,C,NA,NA,0
94,C127,9,9,7,8,0.777777778,0.888888889,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,CC,CH,C,NA,NA,0
95,C128,7,7,4,1,0.571428571,0.142857143,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,CC,CH,C,NA,NA,0
96,C131,12,11,9,3,0.75,0.272727273,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,CC,CH,C,NA,NA,0
97,C132,13,13,12,10,0.923076923,0.769230769,NA,108,NA,62,#VALUE!,0.574074074,NA,2.535666667,1,0,0.5,1,CC,CH,C,NA,11,0
98,C133,9,10,8,8,0.888888889,0.8,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,CC,CH,C,NA,NA,0
99,C134,15,15,12,13,0.8,0.866666667,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,CC,CH,C,NA,NA,0
100,C138,7,7,6,5,0.857142857,0.714285714,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,CC,CH,C,NA,NA,0
101,C139,9,8,8,8,0.888888889,1,NA,151,NA,118,#VALUE!,0.781456954,NA,1.3135,1,0,0.333333333,1,CC,CH,C,NA,89,0
102,C141,7,6,6,4,0.857142857,0.666666667,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,CC,CH,C,NA,NA,0
103,C142,7,6,7,5,1,0.833333333,NA,126,NA,119,#VALUE!,0.944444444,NA,4.509666667,1,0,0.5,1,CC,CH,C,NA,81,0
104,C143,9,8,5,6,0.555555556,0.75,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,CC,CH,C,NA,NA,0
105,C144,11,12,7,3,0.636363636,0.25,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,CC,CH,C,NA,NA,0
106,C145,9,9,9,9,1,1,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,CC,CH,C,NA,NA,0
107,C146,6,7,6,7,1,1,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,CC,CH,C,NA,NA,0
108,C148,10,10,3,6,0.3,0.6,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,CC,CH,C,NA,NA,0
109,C149,10,10,8,8,0.8,0.8,71,NA,64,NA,0.901408451,#VALUE!,2.333333333,NA,0.5,1,1,0,CC,CH,C,18,NA,0
110,C151,10,10,9,8,0.9,0.8,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,CC,CH,C,NA,NA,0
