,Var1,egg_f1_m,egg_f1_mm,adult_f1_m,adult_f1_mm,F1 survival m,F1 survival mm,egg_f2_m,egg_f2_mm,adult_f2_m,adult_f2_mm,F2 survival m,F2 survival mm,climb_m,climb_mm,wsurv_m,wmulti_m,wsurv_mm,wmulti_mm,Cat_m,Cat_mm,mom_c,time_m,time_mm,missing
542,H104,5,NA,4,NA,0.8,#VALUE!,122,NA,60,NA,0.491803279,#VALUE!,2.92,NA,0.5,1,NA,NA,HH,NA,H,42,NA,0
543,H105,11,NA,10,NA,0.909090909,#VALUE!,150,NA,138,NA,0.92,#VALUE!,2.066666667,NA,0.333333333,1,NA,NA,HH,NA,H,122,NA,0
572,H145,NA,7,NA,7,#VALUE!,1,NA,81,NA,62,#VALUE!,0.765432099,NA,3.333333333,NA,NA,0.5,1,NA,HC,H,NA,9,0
573,H147,9,NA,5,NA,0.555555556,#VALUE!,180,NA,163,NA,0.905555556,#VALUE!,2.760666667,NA,0.5,1,NA,NA,HH,NA,H,97,NA,0
574,H149,10,NA,10,NA,1,#VALUE!,113,NA,93,NA,0.82300885,#VALUE!,3.06,NA,0.333333333,1,NA,NA,HH,NA,H,88,NA,0
578,H154,6,NA,5,NA,0.833333333,#VALUE!,148,NA,120,NA,0.810810811,#VALUE!,2.719,NA,0.333333333,1,NA,NA,HH,NA,H,0,NA,0
589,H170,6,NA,6,NA,1,#VALUE!,138,NA,38,NA,0.275362319,#VALUE!,2.803666667,NA,0.333333333,1,NA,NA,HH,NA,H,11,NA,0
599,H182,NA,9,NA,9,#VALUE!,1,NA,0,NA,0,#VALUE!,#DIV/0!,NA,2.773333333,NA,NA,0.5,1,NA,HC,H,NA,27,0
613,H200,NA,9,NA,9,#VALUE!,1,NA,85,NA,77,#VALUE!,0.905882353,NA,2.346666667,NA,NA,0.5,1,NA,HC,H,NA,36,0
615,H206,NA,11,NA,10,#VALUE!,0.909090909,NA,88,NA,69,#VALUE!,0.784090909,NA,3.14,NA,NA,0.5,1,NA,HC,H,NA,18,0
642,C034,NA,4,NA,4,#VALUE!,1,NA,110,NA,94,#VALUE!,0.854545455,NA,2.327,NA,NA,0.333333333,1,NA,CH,C,NA,30,0
661,C060,15,15,14,14,0.933333333,0.933333333,77,185,56,165,0.727272727,0.891891892,1.966666667,3.546333333,0.333333333,1,0.333333333,1,CC,CH,C,37,0,0
671,C071,NA,13,NA,13,#VALUE!,1,NA,155,NA,142,#VALUE!,0.916129032,NA,3.273666667,NA,NA,0.333333333,1,NA,CH,C,NA,0,0
680,C082,NA,7,NA,6,#VALUE!,0.857142857,NA,177,NA,145,#VALUE!,0.81920904,NA,2.44,NA,NA,0.333333333,1,NA,CH,C,NA,25,0
687,C093,NA,11,NA,10,#VALUE!,0.909090909,NA,200,NA,165,#VALUE!,0.825,NA,2.366,NA,NA,0.333333333,1,NA,CH,C,NA,60,0
702,C114,9,NA,7,NA,0.777777778,#VALUE!,92,NA,80,NA,0.869565217,#VALUE!,2.35,NA,0.333333333,1,NA,NA,CC,NA,C,23,NA,0
719,C139,NA,8,NA,8,#VALUE!,1,NA,144,NA,99,#VALUE!,0.6875,NA,2.705666667,NA,NA,0.333333333,1,NA,CH,C,NA,0,0
733,C157,6,NA,6,NA,1,#VALUE!,98,NA,58,NA,0.591836735,#VALUE!,3.066666667,NA,0.333333333,1,NA,NA,CC,NA,C,9,NA,0
737,C164,12,NA,9,NA,0.75,#VALUE!,90,NA,69,NA,0.766666667,#VALUE!,3.033333333,NA,0.333333333,1,NA,NA,CC,NA,C,27,NA,0
755,C185,NA,15,NA,9,#VALUE!,0.6,NA,168,NA,119,#VALUE!,0.708333333,NA,3.826666667,NA,NA,0.333333333,1,NA,CH,C,NA,48,0
767,C202,NA,9,NA,9,#VALUE!,1,NA,175,NA,153,#VALUE!,0.874285714,NA,3.12,NA,NA,0.333333333,1,NA,CH,C,NA,31,0
769,H003,10,NA,10,NA,1,#VALUE!,191,NA,165,NA,0.863874346,#VALUE!,2.84,NA,0.25,1,NA,NA,HH,NA,H,25,NA,0
841,H091,13,NA,13,NA,1,#VALUE!,116,NA,98,NA,0.844827586,#VALUE!,2.301333333,NA,0.333333333,1,NA,NA,HH,NA,H,52,NA,0
850,H103,NA,10,NA,9,#VALUE!,0.9,NA,138,NA,93,#VALUE!,0.673913043,NA,2.34,NA,NA,0.333333333,1,NA,HC,H,NA,9,0
852,H105,11,NA,10,NA,0.909090909,#VALUE!,134,NA,71,NA,0.529850746,#VALUE!,3.414,NA,0.333333333,1,NA,NA,HH,NA,H,82,NA,0
883,H149,10,NA,10,NA,1,#VALUE!,62,NA,50,NA,0.806451613,#VALUE!,1.6605,NA,0.333333333,1,NA,NA,HH,NA,H,31,NA,0
887,H154,6,NA,5,NA,0.833333333,#VALUE!,171,NA,125,NA,0.730994152,#VALUE!,2.503333333,NA,0.333333333,1,NA,NA,HH,NA,H,11,NA,0
898,H170,6,NA,6,NA,1,#VALUE!,65,NA,27,NA,0.415384615,#VALUE!,1.274,NA,0.333333333,1,NA,NA,HH,NA,H,42,NA,0
1078,H003,10,NA,10,NA,1,#VALUE!,200,NA,170,NA,0.85,#VALUE!,2.947666667,NA,0.25,1,NA,NA,HH,NA,H,33,NA,0
