"video","phase","phase_type","pole_location","safe_location","start_position","time_in_pole_initial","time_in_safe_initial","time_in_safe_total","time_outside_safe_after_reaching","time_to_safe","start_in_pole","first_to_safe","dead_fly"
"OL_CS_1",8,"trial","M","middle","safe",0,NA,NA,NA,NA,0,NA,0
"OL_CS_1",10,"trial","M","middle","pole",1.23,58.77,58.77,0,1.23,1,1,0
"OL_CS_1",12,"trial","M","middle","pole",4.27,45.5,52.73,0.07,7.2,1,0,0
"OL_CS_1",14,"trial","M","middle","pole",2.73,50.5,50.5,0,9.5,1,0,0
"OL_CS_1",16,"trial","M","middle","safe",0,NA,NA,NA,NA,0,NA,0
"OL_CS_1",18,"trial","M","middle","pole",1.23,58.77,58.77,0,1.23,1,1,0
"OL_CS_1",20,"trial","M","middle","safe",0,NA,NA,NA,NA,0,NA,0
"OL_CS_1",22,"trial","M","middle","pole",1.97,50.33,50.33,0,9.67,1,0,0
"OL_CS_1",24,"trial","M","middle","pole",2.53,57.47,57.47,0,2.53,1,1,0
"OL_CS_1",26,"trial","M","middle","safe",0,NA,NA,NA,NA,0,NA,0
"OL_CS_1",28,"trial","M","middle","pole",2.07,54.8,54.8,0,5.2,1,0,0
"OL_CS_1",30,"trial","M","middle","pole",1.3,58.7,58.7,0,1.3,1,1,0
"OL_CS_1",32,"trial","M","middle","safe",0,NA,NA,NA,NA,0,NA,0
"OL_CS_1",34,"trial","M","middle","pole",4.63,55.37,55.37,0,4.63,1,1,0
"OL_CS_1",36,"trial","M","middle","pole",2.33,51.2,51.2,0,8.8,1,0,0
"OL_CS_1",38,"trial","M","middle","unsafe",0,NA,NA,NA,NA,0,NA,0
"OL_CS_1",40,"trial","M","middle","pole",7.7,52.3,52.3,0,7.7,1,1,0
"OL_CS_1",42,"trial","M","middle","pole",4.63,55.37,55.37,0,4.63,1,1,0
"OL_CS_1",44,"trial","M","middle","pole",5.27,53.07,53.07,0,6.93,1,0,0
"OL_CS_1",46,"trial","M","middle","pole",4.1,52.9,52.9,0,7.1,1,0,0
"OL_CS_1",48,"trial","M","middle","pole",1.7,58.3,58.3,0,1.7,1,1,0
"OL_CS_1",50,"trial","M","middle","pole",4.17,55.83,55.83,0,4.17,1,1,0
"OL_CS_1",52,"trial","M","middle","pole",3.27,56.73,56.73,0,3.27,1,1,0
"OL_CS_1",54,"trial","M","middle","pole",5,55,55,0,5,1,1,0
"OL_CS_1",56,"trial","M","middle","unsafe",0,NA,NA,NA,NA,0,NA,0
"OL_CS_1",58,"trial","M","middle","safe",0,NA,NA,NA,NA,0,NA,0
"OL_CS_1",60,"trial","M","middle","unsafe",0,NA,NA,NA,NA,0,NA,0
