"video","phase","seconds_moving","speed_mean","speed_median","speed_min","speed_max","speed_var","speed_sd","speed_ci_mean","speed_ci_lower","speed_ci_upper","speed_ci_stderror","num_bouts","mean_bout_time","min_bout_time","max_bout_time","mean_bout_speed","min_bout_speed","max_bout_speed","border_total","border_bottom","border_left","border_right","border_top"
"TCD_1_1_m_12",5,0,0.00798565840938722,0,0,0.293350717079531,0.00228009459973666,0.047750336121714,0.00798565840938722,0.00577826084434005,0.0101930559744344,0.00112548621585334,0,0,0,0,0,0,0,60,60,NA,NA,NA
"TCD_1_1_m_12",6,0,0.028098796212903,0,0,0.414860562625745,0.00748542359533666,0.0865183425369248,0.028098796212903,0.0240992352849732,0.0320983571408329,0.00203925689016264,0,0,0,0,0,0,0,60,60,NA,NA,NA
"TCD_1_1_m_12",7,0,0.0174380704041721,0,0,0.293350717079531,0.00481405863514583,0.0693834175804697,0.0174380704041721,0.0142306210025304,0.0206455198058138,0.00163538283576828,0,0,0,0,0,0,0,60,60,NA,NA,NA
"TCD_1_1_m_12",8,0,0.012379041920069,0,0,0.293350717079531,0.00348009245634274,0.0589923084507017,0.012379041920069,0.00965270985834052,0.0151053739817976,0.00139007596617975,0,0,0,0,0,0,0,60.0333333333333,60.0333333333333,NA,NA,NA
"TCD_1_1_m_12",9,0,0.00179269882659713,0,0,0.293350717079531,0.000522966254014778,0.022868455435704,0.00179269882659713,0.000735538250460167,0.0028498594027341,0.000539014663794968,0,0,0,0,0,0,0,60,60,NA,NA,NA
"TCD_1_1_m_12",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,60,NA,NA,NA
"TCD_1_1_m_12",11,2.46666666666667,0.0661833176200282,0,0,2.48916337575447,0.0512660042833358,0.226419973242945,0.0661833176200282,0.0557193088588889,0.0766473263811675,0.00533528813050451,2,0.891194968553459,0.8,0.966666666666667,1.04810733982733,0.586701434159061,1.87836108660025,20.4333333333333,20.4333333333333,NA,NA,NA
"TCD_1_1_m_12",12,0,0.00733376792698827,0,0,0.293350717079531,0.00209874789932501,0.0458120933741846,0.00733376792698827,0.00521597124580621,0.00945156460817032,0.00107980139617461,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"TCD_1_1_m_12",13,2.1,0.0708398041398435,0,0,2.07430281312873,0.0534807829439217,0.231259125104117,0.0708398041398435,0.0601491813901192,0.0815304268895679,0.005450829852413,2,0.693333333333333,0.533333333333333,0.8,1.27730273988474,0.586701434159061,2.07430281312873,0.4,0.4,NA,NA,NA
"TCD_1_1_m_12",14,2.83333333333333,0.104785681410805,0,0,2.78296925764492,0.0887165592608906,0.297853251217593,0.104785681410805,0.091008886115416,0.118562476706195,0.00702437197129733,1,0.6,0.6,0.6,2.200829880864,0.655952144638139,2.78296925764492,4.63333333333333,4.63333333333333,NA,NA,NA
