"video","phase","phase_type","pole_location","safe_location","start_position","time_to_start_moving","time_in_pole_initial","time_in_safe_initial","time_in_safe_total","time_outside_safe_after_reaching","time_to_safe","start_in_pole","first_to_safe","first_to_closest","dist_to_safe","speed_to_safe","previously_safe_first","dead_fly"
"OT_CS_6",24,"trial","M","right","pole",3.17,4.2,55.8,55.8,0,4.2,1,1,0,10.4737121829525,0.0240708590341801,0,0
"OT_CS_6",26,"trial","M","right","pole",3.87,4.87,55.13,55.13,0,4.87,1,1,0,3.9352580921381,0.00780516096975611,1,0
"OT_CS_6",28,"trial","M","left","pole",2.03,2.8,50.27,50.27,0,9.73,1,0,0,19.2091473160214,0.0190496383442852,1,0
"OT_CS_6",30,"trial","M","right","pole",3.4,4.2,55.83,55.83,0,4.2,1,1,0,9.9026791227665,0.022758501385288,0,0
"OT_CS_6",32,"trial","M","left","pole",5.07,5.1,6.1,52.63,2.27,5.1,1,1,1,22.5486762875585,0.04267672853274,0,0
"OT_CS_6",34,"trial","M","left","pole",3.47,6.73,47.5,47.5,0,12.5,1,0,1,19.3401131467318,0.0149344503063566,0,0
"OT_CS_6",36,"trial","M","left","pole",3.53,6.13,53.87,53.87,0,6.13,1,1,1,9.21302362663166,0.0144992607855753,1,0
"OT_CS_6",38,"trial","M","right","pole",4.63,6.23,53.77,53.77,0,6.23,1,1,0,7.27827210333832,0.0112706296894756,0,0
"OT_CS_6",40,"trial","M","left","safe",NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0
"OT_CS_6",42,"trial","M","left","pole",4.93,6.83,53.17,53.17,0,6.83,1,1,0,7.39204442827782,0.0104417239310827,1,0
"OT_CS_6",44,"trial","M","left","pole",7.13,7.2,52.8,52.8,0,7.2,1,1,1,5.33936018624254,0.00715808690776832,1,0
"OT_CS_6",46,"trial","M","right","pole",4.73,5.9,54.1,54.1,0,5.9,1,1,0,6.71671143828177,0.0109886647442605,0,0
"OT_CS_6",48,"trial","M","right","pole",4.63,6.3,53.7,53.7,0,6.3,1,1,0,8.39657299189954,0.0128647621987797,1,0
"OT_CS_6",50,"trial","M","left","pole",5.57,5.67,54.33,54.33,0,5.67,1,1,1,7.81324508264173,0.0133089571019334,0,0
"OT_CS_6",52,"trial","M","right","pole",5,6.2,53.8,53.8,0,6.2,1,1,1,7.87567041635511,0.012261287857073,0,0
"OT_CS_6",54,"trial","M","left","pole",5.23,5.93,54.07,54.07,0,5.93,1,1,1,6.82352773331706,0.0111007023556197,0,0
"OT_CS_6",56,"trial","M","right","pole",4.67,8.6,51.4,51.4,0,8.6,1,1,0,10.2998058896569,0.0115603460196383,0,0
"OT_CS_6",58,"trial","M","left","pole",6.17,6.5,53.5,53.5,0,6.5,1,1,1,5.01130406659276,0.00744179398068423,0,0
"OT_CS_6",60,"trial","M","right","pole",5.57,6.53,53.43,53.43,0,6.53,1,1,0,6.67092602664341,0.0098557925301051,0,0
"OT_CS_7",2,"trial","M","left","pole",7.47,9.43,46.27,46.27,0,13.2,1,0,1,20.067046364101,0.0146740423277912,NA,0
"OT_CS_7",4,"trial","M","right","safe",NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0
"OT_CS_7",6,"trial","M","left","pole",4.1,5.27,47.97,47.97,0,11.53,1,0,0,24.8088904392942,0.0207631261069372,1,0
"OT_CS_7",8,"trial","M","right","pole",3.6,4.07,52.5,52.5,0,6.97,1,0,1,19.7592230131918,0.0273769508412811,1,0
"OT_CS_7",10,"trial","M","right","pole",3.83,4.63,52.83,52.83,0,6.7,1,0,1,16.4566106182556,0.0237085959463142,0,0
"OT_CS_7",12,"trial","M","left","pole",2.6,2.73,56.77,56.77,0,2.73,1,1,1,7.01292109403664,0.024765471421638,0,0
"OT_CS_7",14,"trial","M","right","pole",3.33,4.8,52.13,52.13,0,7.37,1,0,1,16.9754742730893,0.0222428863271842,1,0
"OT_CS_7",16,"trial","M","left","pole",3.97,4.9,54.57,54.57,0,4.9,1,1,1,7.67509924939917,0.015119177467101,0,0
"OT_CS_7",18,"trial","M","right","pole",2.37,2.17,57.3,57.3,0,2.17,1,1,1,5.018460515491,0.0223572639537764,0,0
"OT_CS_7",20,"trial","M","left","pole",1.87,2.4,53.77,53.77,0,5.7,1,0,0,12.7498329435396,0.0215908571149827,1,0
"OT_CS_7",22,"trial","M","left","pole",3,3.13,56.4,56.4,0,3.13,1,1,1,11.9550697842758,0.036828646751856,1,0
"OT_CS_7",24,"trial","M","right","pole",3.9,4.93,51.37,51.37,0,8.1,1,0,1,19.3302972945114,0.02303529397792,1,0
"OT_CS_7",26,"trial","M","left","pole",3.33,4.93,54.63,54.63,0,4.93,1,1,1,9.05751796757277,0.0177218472181978,0,0
"OT_CS_7",28,"trial","M","left","pole",3.47,3.3,51.97,51.97,0,7.5,1,0,1,11.8603868449135,0.0152643331337368,0,0
"OT_CS_7",30,"trial","M","right","pole",1.63,0.43,56.1,56.1,0,3.37,1,0,1,10.3628547853006,0.0297111552007931,1,0
"OT_CS_7",32,"trial","M","right","pole",3.17,4.1,53.13,53.13,0,6.37,1,0,1,9.61151550948369,0.0145720282037494,0,0
"OT_CS_7",34,"trial","M","left","pole",2.83,3.23,52.53,52.53,0,6.97,1,0,0,9.53132872897042,0.0132059199843487,1,0
"OT_CS_7",36,"trial","M","left","pole",3.9,3.93,55.53,55.53,0,3.93,1,1,1,10.9165955354561,0.0267896297742036,1,0
"OT_CS_7",38,"trial","M","left","pole",1.83,3.63,55.87,55.87,0,3.63,1,1,1,10.4746998767378,0.0278276536699138,1,0
"OT_CS_7",40,"trial","M","right","pole",2.27,2.17,51.57,51.57,0,7.9,1,0,1,15.0922675993616,0.0184402859089996,1,0
"OT_CS_7",42,"trial","M","right","pole",3.67,4.9,54.53,54.53,0,4.9,1,1,0,6.49077427914236,0.0127861757921802,1,0
"OT_CS_7",44,"trial","M","left","pole",1.9,2.53,56.97,56.97,0,2.53,1,1,1,7.5587036702023,0.028800181633061,0,0
"OT_CS_7",46,"trial","M","right","pole",1.63,3.1,56.4,56.4,0,3.1,1,1,1,10.6062322126103,0.0330247609061226,0,0
"OT_CS_7",48,"trial","M","right","pole",3.63,4.83,54.63,54.63,0,4.83,1,1,0,14.9995085196913,0.0299550829177698,1,0
"OT_CS_7",50,"trial","M","left","pole",1.53,1.37,52.37,52.37,0,7.1,1,0,1,16.8877333306109,0.0229590153496803,1,0
"OT_CS_7",52,"trial","M","right","pole",4.1,5.03,52.2,52.2,0,7.23,1,0,1,9.87680213394292,0.0131800822028311,1,0
"OT_CS_7",54,"trial","M","right","pole",3.6,4.33,52.43,52.43,0,7,1,0,1,10.9284029722762,0.0150695021680587,0,0
"OT_CS_7",56,"trial","M","left","pole",2.63,2.63,56.9,56.9,0,2.63,1,1,1,5.10335726267878,0.0187064070524856,0,0
"OT_CS_7",58,"trial","M","right","pole",3.7,4.87,54.63,54.63,0,4.87,1,1,0,7.60854125320102,0.015090722853707,0,0
"OT_CS_7",60,"trial","M","left","pole",4.3,6.17,53.3,53.3,0,6.17,1,1,1,5.22700402531765,0.00818168218509494,0,0
"OT_CS_8",2,"trial","M","right","pole",4.1,4.2,10.03,30.2,25.6,4.2,1,1,1,52.7101624873978,0.121139369570228,NA,0
